no,name,position,birthday,age,years,height,weight,pitch,bat,salary
45,谷川原 健太,C,1997-04-16,28,10,174,87,R,L,1500
46,宇野 真仁朗,IF,2006-07-05,19,1,177,81,R,R,500
47,大関 友久,P,1997-12-14,27,6,185,85,L,L,9000
48,藤井 皓哉,P,1996-07-29,29,10,183,86,R,L,7000
49,松本 晴,P,2001-02-24,24,3,181,87,L,L,900
50,板東 湧梧,P,1995-12-27,29,7,182,78,R,R,3200
51,前田 純,P,2000-06-04,25,3,189,88,L,L,750
52,秋広 優人,IF,2002-09-17,22,5,200,100,R,L,2450
53,大山 凌,P,2002-03-27,23,2,179,80,R,R,1500
54,オスナ,P,1995-02-07,30,4,188,104,R,R,100000
55,石塚 綜一郎,C,2001-06-07,24,6,181,91,R,R,700
56,田浦 文丸,P,1999-09-21,25,8,168,78,L,L,2400
57,緒方 理貢,OF,1998-09-22,26,5,175,69,R,L,1300
58,木村 大成,P,2003-09-12,21,4,180,82,L,L,570
59,長谷川 威展,P,1999-08-09,26,4,179,86,L,L,2500
60,大野 稼頭央,P,2004-08-06,21,3,176,70,L,L,520
61,川村 友斗,OF,1999-08-13,26,4,181,88,R,L,2050
62,海野 隆司,C,1997-07-15,28,6,174,84,R,R,2600
63,ヘルナンデス,P,1996-12-17,28,3,188,115,L,L,25000
64,上茶谷 大河,P,1996-08-31,28,7,182,83,R,R,3900
65,藤田 悠太郎,C,2005-06-03,20,2,170,73,R,R,600
66,松本 裕樹,P,1996-04-14,29,11,183,92,R,L,11000
67,石見 颯真,IF,2006-06-10,19,1,176,74,R,L,500
68,木村 光,P,2000-07-02,25,3,173,73,R,L,750
69,岩崎 峻典,P,2003-03-11,22,1,177,80,R,R,800
77,山本 恵大,OF,1999-08-06,26,4,183,86,R,L,400
85,宮﨑 颯,P,2000-06-14,25,3,180,93,L,L,400
95,川口 冬弥,P,1999-10-26,25,1,187,88,R,R,400
99,野村 勇,IF,1996-12-01,28,4,174,82,R,R,2100
121,ザイレン,IF,2006-05-29,19,1,178,82,R,R,360
122,藤野 恵音,IF,2003-08-23,21,4,181,78,R,R,360
123,大泉 周也,OF,1999-09-16,25,2,173,87,L,L,400
124,桑原 秀侍,IF,2002-05-29,23,5,176,81,R,R,360
125,大友 宗,C,1999-07-23,26,1,181,85,R,R,400
127,広瀬 結煌,IF,2007-02-22,18,1,180,71,R,R,360
128,河野 伸一朗,P,2006-08-20,18,1,190,74,L,L,360
129,佐倉 侠史朗,IF,2005-11-03,19,2,184,104,R,L,360
130,勝連 大稀,IF,2001-04-30,24,6,175,68,R,L,360
131,中澤 恒貴,IF,2005-07-03,20,2,180,84,R,R,360
133,星野 恒太朗,P,2001-10-24,23,2,179,85,R,R,400
134,大城 真乃,P,2002-11-24,22,5,170,73,L,L,360
135,アルメンタ,P,2004-06-26,21,4,185,79,L,L,1000
137,津嘉山 憲志郎,P,2006-07-24,19,1,178,93,R,R,360
138,相原 雄太,P,2002-06-16,23,1,191,96,R,R,400
139,井﨑 燦志郎,P,2004-02-09,21,4,188,87,R,R,360
140,岡田 皓一朗,P,2002-06-04,23,1,187,95,R,R,400
141,澤柳 亮太郎,P,2000-03-08,25,2,179,86,R,R,1000
142,藤原 大翔,P,2005-12-26,19,2,177,69,R,R,360
143,漁府 輝羽,OF,2002-07-16,23,1,183,93,R,R,400
144,シモン,OF,2004-09-18,20,4,185,79,R,R,1000
145,ハモンド,P,2004-01-17,21,4,191,85,R,R,360
146,藤田 淳平,P,2000-05-14,25,2,182,95,L,L,400
147,木下 勇人,OF,2006-08-06,19,1,179,66,R,L,360
148,山崎 琢磨,P,2003-11-06,21,4,185,90,R,L,360
149,熊谷 太雅,P,2006-10-17,18,1,184,72,L,L,360
151,加藤 晴空,C,2003-04-28,22,4,175,78,R,L,360
152,塩士 暖,P,2006-05-18,19,1,185,74,R,R,360
153,張 峻ウェイ,P,2005-11-14,19,1,179,82,R,R,400
154,生海,OF,2000-07-11,25,3,183,101,R,L,1050
155,風間 球打,P,2003-10-11,21,4,184,96,R,L,1000
156,ロドリゲス,P,2001-08-18,23,4,182,90,R,R,1000
157,田上 奏大,P,2002-11-26,22,5,186,90,R,L,650
158,赤羽 蓮,P,2004-04-09,21,3,188,88,R,R,360
159,山下 恭吾,IF,2004-07-07,21,3,175,78,R,R,360
160,長水 啓眞,P,2005-08-08,20,2,179,69,L,L,360
161,内野 海斗,P,2004-07-28,21,3,187,91,R,R,360
162,岡植 純平,P,2004-07-10,21,3,177,82,R,R,360
163,佐々木 明都,P,2005-01-02,20,3,182,81,R,R,360
164,水口 創太,P,1999-08-09,26,3,195,102,R,R,400
166,重松 凱人,OF,2000-04-12,25,3,187,98,R,R,400
167,川原田 純平,IF,2002-05-21,23,5,168,70,R,R,570
168,佐藤 航太,OF,2004-04-07,21,3,184,73,R,R,360
169,飛田 悠成,P,2005-03-13,20,3,185,90,R,L,360
170,西尾 歩真,IF,2000-06-20,25,3,167,70,R,L,400
171,盛島 稜大,C,2004-05-27,21,3,187,107,R,R,360
173,オスーナ,OF,2007-03-27,18,3,185,82,R,R,1000
175,アルモンテ,IF,2007-12-02,17,2,185,82,R,R,1000
176,サルディ,P,2005-11-12,19,2,186,81,L,L,1500
