no,name,position,birthday,age,years,height,weight,pitch,bat,salary
32,益子 京R,C,2000-12-27,24,7,176,95,R,R,560
33,武田 陸玖,OF,2005-06-06,20,2,173,78,L,L,560
34,松本 凌人,P,2001-12-05,23,2,185,92,R,R,1250
35,橋本 達弥,P,2000-07-18,25,3,181,84,R,R,650
36,森下 瑠大,P,2004-09-19,20,3,180,75,L,L,550
37,加藤 響,IF,2002-06-15,23,1,180,85,R,R,750
38,森 唯斗,P,1992-01-08,33,12,175,91,R,R,4000
39,若松 尚輝,P,2000-05-10,25,1,184,93,R,R,800
40,松本 隆之介,P,2002-07-31,23,5,188,94,L,L,560
41,佐々木 千隼,P,1994-06-08,31,9,181,83,R,R,3500
42,ジャクソン,P,1996-05-01,29,2,190,95,R,R,24500
043,深沢 鳳介,P,2003-11-05,21,4,177,80,R,R,520
44,石上 泰輝,IF,2001-05-18,24,2,172,85,R,L,950
45,森原 康平,P,1991-12-26,33,9,185,88,R,L,10000
46,坂口 翔颯,P,2002-09-12,22,1,180,80,R,R,700
48,京山 将弥,P,1998-07-04,27,9,183,80,R,R,2450
50,山本 祐大,C,1998-09-11,26,8,180,87,R,R,5400
51,宮﨑 敏郎,IF,1988-12-12,36,13,172,85,R,R,20000
52,浜地 真澄,P,1998-05-25,27,9,185,88,R,R,2800
53,颯,P,1998-10-10,26,5,184,80,R,L,1600
54,石田 裕太郎,P,2002-01-22,23,2,180,74,R,R,1300
55,井上 絢登,IF,2000-02-23,25,2,178,90,R,L,900
56,田内 真翔,IF,2007-03-06,18,1,177,79,R,R,500
57,東妻 純平,C,2001-07-03,24,6,174,83,R,R,600
58,梶原 昂希,OF,1999-09-19,25,4,189,90,R,L,2200
59,平良 拳太郎,P,1995-07-12,30,12,180,80,R,R,2600
60,知野 直人,IF,1999-02-16,26,7,182,85,R,R,1200
61,蝦名 達夫,OF,1997-09-20,27,6,185,88,R,R,2700
62,ウィック,P,1992-11-09,32,2,190,106,R,L,14700
63,関根 大気,OF,1995-06-28,30,12,173,78,L,L,5350
64,中川 虎大,P,1999-10-02,25,8,178,85,R,R,1520
65,宮城 滝太,P,2000-07-15,25,7,181,80,R,R,640
66,ビシエド,IF,1989-03-10,36,10,185,108,R,R,6530
68,岩田 将貴,P,1998-06-16,27,5,178,81,L,L,560
69,ケイ,P,1995-03-21,30,2,183,102,L,L,15500
91,庄司 陽斗,P,2001-05-31,24,2,184,93,L,L,340
92,堀岡 隼人,P,1998-09-11,26,9,183,87,R,R,700
93,ディアス,P,1999-06-10,26,6,191,93,L,L,1320
95,九鬼 隆平,C,1998-09-05,26,9,180,85,R,R,650
96,バウアー,P,1991-01-17,34,2,185,92,R,R,93000
98,マルセリーノ,P,2002-06-16,23,4,191,82,R,R,620
99,フォード,IF,1992-07-04,33,2,183,102,R,L,8000
100,蓮,IF,2004-07-18,21,3,183,92,R,R,340
101,草野 陽斗,P,2004-06-07,21,3,175,87,R,R,340
102,清水 麻成,P,2005-10-06,19,2,187,84,R,R,340
103,金渕 光希,P,2006-10-01,18,1,183,87,L,L,340
108,今野 瑠斗,P,2004-07-13,21,3,182,93,R,R,340
111,吉岡 暖,P,2006-08-28,18,1,182,88,R,R,340
125,小笠原 蒼,IF,2005-10-20,19,2,180,96,R,L,340
127,上甲 凌大,C,2001-01-29,24,3,184,90,R,L,460
129,西巻 賢二,IF,1999-04-22,26,8,167,70,R,R,570
130,近藤 大雅,C,2005-09-18,19,2,174,87,R,R,340
133,粟飯原 龍之介,IF,2004-02-22,21,4,180,85,R,L,560
155,小針 大輝,OF,2006-10-10,18,1,191,94,L,L,340
193,高見澤 郁魅,IF,2006-01-18,19,2,183,85,R,L,340
199,笠谷 俊介,P,1997-03-17,28,11,173,74,L,L,1200
