No.,選手名,守備,生年月日,年齢,年数,身長,体重,血液型,投打,出身地,年俸(推定)
46,岩下 大輝,投手,1996-10-02,28歳,11年,182cm,90kg,O型,右右,石川,4000万円
47,鈴木 昭汰,投手,1998-09-07,26歳,5年,175cm,80kg,A型,左左,茨城,5400万円
48,中村 稔弥,投手,1996-07-08,29歳,7年,178cm,84kg,A型,左左,長崎,2200万円
49,立松 由宇,内野手,1999-02-05,26歳,1年,177cm,82kg,B型,右左,千葉,1000万円
50,愛斗,外野手,1997-04-06,28歳,10年,177cm,92kg,O型,右右,大阪,2600万円
51,山口 航輝,外野手,2000-08-18,24歳,7年,183cm,100kg,A型,右右,大阪,3500万円
52,益田 直也,投手,1989-10-25,35歳,14年,179cm,80kg,B型,右右,和歌山,20000万円
53,木村 優人,投手,2005-06-01,20歳,2年,184cm,92kg,B型,右左,茨城,600万円
54,ボス,投手,1992-06-26,33歳,1年,186cm,97kg,不明,右右,アメリカ,30000万円
55,柿沼 友哉,捕手,1993-05-12,32歳,10年,180cm,86kg,A型,右右,茨城,1200万円
56,中森 俊介,投手,2002-05-29,23歳,5年,182cm,90kg,AB型,右左,兵庫,1600万円
57,小川 龍成,内野手,1998-04-05,27歳,5年,171cm,74kg,O型,右左,群馬,2500万円
58,河村 説人,投手,1997-06-18,28歳,5年,192cm,87kg,O型,右右,北海道,900万円
59,早坂 響,投手,2005-07-26,20歳,2年,176cm,70kg,A型,右右,千葉,560万円
60,横山 陸人,投手,2001-08-05,24歳,6年,180cm,90kg,O型,右右,東京,3800万円
61,山本 大斗,外野手,2002-08-09,23歳,5年,180cm,88kg,A型,右右,鳥取,500万円
62,坂井 遼,投手,2006-05-08,19歳,1年,178cm,78kg,O型,右右,千葉,560万円
63,和田 康士朗,外野手,1999-01-14,26歳,8年,185cm,77kg,B型,左左,埼玉,2500万円
64,廣池 康志郎,投手,2002-09-16,22歳,1年,185cm,85kg,O型,右左,宮崎,800万円
65,寺地 隆成,捕手,2005-08-19,19歳,2年,177cm,82kg,O型,右左,東京,550万円
66,澤田 圭佑,投手,1994-04-27,31歳,9年,178cm,96kg,B型,右左,愛媛,1940万円
67,茶谷 健太,内野手,1998-01-16,27歳,10年,186cm,88kg,O型,右右,神奈川,2000万円
68,金田 優太,内野手,2005-02-12,20歳,3年,183cm,83kg,O型,右左,埼玉,500万円
69,アセベド,外野手,2002-08-02,23歳,1年,195cm,104kg,不明,右右,ドミニカ共和国,250万円
91,吉川 悠斗,投手,2005-03-14,20歳,3年,185cm,82kg,A型,左左,埼玉,280万円
92,国吉 佑樹,投手,1991-09-24,33歳,16年,196cm,106kg,A型,右右,大阪,7000万円
97,ゲレーロ,投手,1991-01-09,34歳,2年,203cm,112kg,不明,右右,コロンビア,10000万円
99,ソト,内野手,1989-02-28,36歳,8年,185cm,97kg,不明,右右,プエルトリコ,30000万円
120,田中 楓基,投手,2003-08-23,21歳,4年,180cm,75kg,O型,右右,北海道,290万円
121,本前 郁也,投手,1997-10-02,27歳,6年,176cm,82kg,A型,左左,北海道,1100万円
122,森 遼大朗,投手,1999-04-22,26歳,8年,180cm,87kg,A型,右左,宮崎,600万円
123,秋山 正雲,投手,2003-04-29,22歳,4年,174cm,80kg,B型,左左,千葉,560万円
124,中村 亮太,投手,1998-05-18,27歳,5年,182cm,79kg,O型,右右,千葉,500万円
125,永島田 輝斗,投手,2003-11-30,21歳,4年,182cm,90kg,A型,右右,神奈川,290万円
129,勝又 琉偉,内野手,2004-10-07,20歳,3年,188cm,78kg,A型,右右,静岡,280万円
130,谷村 剛,内野手,2006-09-15,18歳,1年,177cm,85kg,A型,右左,和歌山,260万円
131,茨木 佑太,投手,2006-05-09,19歳,1年,187cm,93kg,A型,右右,北海道,260万円
132,長島 幸佑,投手,2002-07-05,23歳,1年,187cm,92kg,A型,右右,栃木,300万円
133,武内 涼太,投手,2005-10-25,19歳,2年,184cm,84kg,O型,右右,大分,270万円
134,松石 信八,内野手,2005-12-18,19歳,2年,175cm,75kg,O型,右右,佐賀,250万円
135,髙野 光海,外野手,2004-06-17,21歳,2年,187cm,93kg,O型,右右,兵庫,280万円
136,藤田 和樹,外野手,2005-11-04,19歳,2年,185cm,82kg,A型,右左,山口,270万円
137,富山 紘之進,捕手,2005-09-18,19歳,2年,181cm,70kg,O型,右右,大阪,270万円
138,マーティン,外野手,2000-10-14,24歳,2年,188cm,95kg,O型,右右,キューバ,500万円
139,パラシオス,投手,2004-03-19,21歳,1年,184cm,82kg,不明,右右,ベネズエラ,250万円
