no,name,position,birthday,age,years,height,weight,pitch,bat,salary
36,馬場 皐輔,P,1995-05-18,30,8,180,97,R,R,2900
37,郡 拓也,C,1998-04-25,27,9,179,88,R,R,880
38,岡田 悠希,OF,2000-01-19,25,4,184,86,R,L,850
39,フルプ,OF,1999-01-09,26,2,193,99,R,R,1200
40,中山 礼都,IF,2002-04-12,23,5,182,82,R,L,2260
041,黄 錦豪,P,2005-12-04,19,2,184,77,L,L,450
41,中川 皓太,P,1994-02-24,31,10,183,86,L,L,8500
42,ヘルナンデス,OF,1994-11-21,30,2,185,89,R,R,12000
43,重信 慎之介,OF,1993-04-17,32,10,173,74,R,L,3000
44,佐々木 俊輔,OF,1999-11-06,25,2,174,80,R,L,1840
044,大城 元,OF,2004-07-12,21,3,181,81,R,R,370
45,田中 瑛斗,P,1999-07-13,26,8,184,84,R,L,750
46,又木 鉄平,P,1999-02-12,26,2,182,92,L,L,1000
047,鴨打 瑛二,P,2004-02-29,21,4,195,100,L,L,380
47,森田 駿哉,P,1997-02-11,28,2,185,88,L,L,1350
48,田中 千晴,P,2000-09-21,24,3,189,85,R,R,1520
49,バルドナード,P,1993-02-01,32,3,196,122,L,L,15000
50,オコエ 瑠偉,OF,1997-07-21,28,10,185,100,R,R,2400
051,舟越 秀虎,OF,2001-08-23,23,6,182,71,R,B,350
51,浅野 翔吾,OF,2004-11-24,20,3,171,86,R,R,1800
52,リチャード,IF,1999-06-18,26,8,189,123,R,R,1000
53,高梨 雄平,P,1992-07-13,33,9,175,86,L,L,15000
054,直江 大輔,P,2000-06-20,25,7,185,87,R,R,600
54,乙坂 智,OF,1994-01-06,31,11,183,83,R,L,429
57,宮原 駿介,P,2002-09-12,22,1,174,85,L,L,800
58,船迫 大雅,P,1996-10-16,28,3,174,80,R,L,5600
59,若林 楽人,OF,1998-04-13,27,5,177,83,R,R,1800
60,荒巻 悠,IF,2002-12-23,22,1,184,93,R,L,1000
61,増田 陸,IF,2000-06-17,25,7,179,88,R,R,1300
62,横川 凱,P,2000-08-30,24,7,190,98,L,L,1900
63,泉 圭輔,P,1997-03-02,28,7,188,82,R,R,4350
063,花田 侑樹,P,2003-06-25,22,4,181,74,R,L,420
64,山田 龍聖,P,2000-09-07,24,4,183,82,L,L,950
65,石川 達也,P,1998-04-15,27,5,178,75,L,R,1600
66,平内 龍太,P,1998-08-01,27,5,185,99,R,R,3200
67,山瀬 慎之助,C,2001-05-04,24,6,177,89,R,R,680
068,代木 大和,P,2003-09-08,21,4,184,93,L,L,630
68,菊地 大稀,P,1999-06-02,26,4,186,89,R,L,2400
69,笹原 操希,OF,2004-02-09,21,4,180,86,R,R,420
077,石田 隼都,P,2003-04-05,22,4,183,85,L,L,550
90,石田 充冴,P,2006-07-21,19,1,192,87,R,R,600
91,堀田 賢慎,P,2001-05-21,24,6,186,88,R,R,1660
92,マルティネス,P,1996-10-11,28,9,193,93,R,L,120000
94,喜多 隆介,C,1998-08-25,26,5,179,93,R,R,640
95,戸田 懐生,P,2000-07-22,25,5,170,75,R,R,680
96,三塚 琉生,OF,2004-05-10,21,3,182,93,L,L,370
97,井上 温大,P,2001-05-13,24,6,175,85,L,L,3400
98,鈴木 大和,OF,1999-04-27,26,4,173,73,R,R,410
99,京本 眞,P,2004-02-06,21,4,189,88,R,R,460
