No.,選手名,守備,生年月日,年齢,年数,身長,体重,血液型,投打,出身地,年俸(推定)
36,吉納 翼,外野手,2002-08-16,22歳,1年,180cm,89kg,AB型,右左,愛知,700万円
38,弓削 隼人,投手,1994-04-06,31歳,7年,193cm,105kg,AB型,左左,栃木,1700万円
39,伊藤 裕季也,内野手,1996-08-30,28歳,7年,181cm,95kg,O型,右右,三重,1950万円
40,江原 雅裕,投手,2000-08-03,25歳,1年,186cm,93kg,A型,右右,福岡,1000万円
41,加治屋 蓮,投手,1991-11-25,33歳,12年,185cm,90kg,B型,右右,宮崎,1600万円
42,山田 遥楓,内野手,1996-09-30,28歳,11年,180cm,84kg,A型,右右,佐賀,800万円
43,宋 家豪,投手,1992-09-06,32歳,10年,185cm,92kg,不明,右左,台湾,9000万円
44,田中 貴也,捕手,1992-08-27,32歳,11年,178cm,85kg,O型,右左,京都,800万円
45,松井 友飛,投手,1999-10-11,25歳,4年,190cm,87kg,A型,右右,石川,820万円
46,藤平 尚真,投手,1998-09-21,26歳,9年,185cm,85kg,O型,右右,千葉,4000万円
47,藤井 聖,投手,1996-10-03,28歳,5年,176cm,80kg,O型,左左,神奈川,3700万円
48,渡邊 佳明,内野手,1997-01-08,28歳,7年,180cm,79kg,A型,右左,神奈川,1800万円
49,西垣 雅矢,投手,1999-06-21,26歳,4年,184cm,88kg,B型,右左,兵庫,920万円
50,武藤 敦貴,外野手,2001-06-15,24歳,6年,178cm,73kg,A型,左左,福岡,700万円
51,小郷 裕哉,外野手,1996-08-03,29歳,7年,178cm,85kg,O型,右左,岡山,6600万円
52,津留﨑 大成,投手,1997-10-10,27歳,6年,177cm,86kg,不明,右右,千葉,900万円
53,坂井 陽翔,投手,2005-04-05,20歳,2年,186cm,88kg,B型,右右,兵庫,600万円
54,日當 直喜,投手,2005-07-06,20歳,2年,190cm,105kg,A型,右右,東京,570万円
55,安田 悠馬,捕手,2000-03-03,25歳,4年,185cm,105kg,B型,右左,兵庫,1500万円
56,鈴木 翔天,投手,1996-08-19,28歳,7年,185cm,82kg,A型,左左,神奈川,6500万円
57,瀧中 瞭太,投手,1994-12-20,30歳,6年,180cm,93kg,A型,右右,滋賀,2800万円
58,辛島 航,投手,1990-10-18,34歳,17年,173cm,72kg,A型,左左,福岡,8000万円
59,泰 勝利,投手,2003-11-11,21歳,4年,172cm,82kg,A型,左右,鹿児島,550万円
60,ワォーターズ 璃海ジュミル,内野手,2005-10-14,19歳,2年,178cm,76kg,不明,右右,沖縄,550万円
61,松田 啄磨,投手,2002-02-26,23歳,2年,186cm,74kg,B型,右右,大阪,750万円
62,西口 直人,投手,1996-11-14,28歳,9年,183cm,83kg,B型,右右,大阪,1500万円
63,入江 大樹,内野手,2002-06-06,23歳,5年,185cm,83kg,A型,右右,大阪,550万円
64,林 優樹,投手,2001-10-29,23歳,3年,173cm,73kg,O型,左左,京都,750万円
65,堀内 謙伍,捕手,1997-04-15,28歳,10年,174cm,82kg,A型,右左,静岡,730万円
66,今野 龍太,投手,1995-05-11,30歳,12年,178cm,86kg,AB型,右右,宮城,2700万円
67,大内 誠弥,投手,2006-03-09,19歳,2年,191cm,77kg,O型,右右,宮城,500万円
68,青野 拓海,内野手,2005-07-26,20歳,2年,180cm,85kg,O型,右右,富山,500万円
69,内 星龍,投手,2002-04-24,23歳,5年,190cm,88kg,O型,右左,大阪,3100万円
70,石原 彪,捕手,1999-03-08,26歳,9年,172cm,96kg,A型,右右,京都,1700万円
71,柴田 大地,投手,1997-11-07,27歳,4年,180cm,94kg,O型,右右,東京,900万円
72,宮森 智志,投手,1998-05-28,27歳,4年,193cm,93kg,O型,右右,広島,950万円
73,小森 航大郎,内野手,2003-04-30,22歳,4年,173cm,83kg,A型,右右,福岡,640万円
75,陽 柏翔,内野手,2005-01-23,20歳,1年,174cm,75kg,AB型,右左,台湾,550万円
78,吉野 創士,外野手,2003-10-27,21歳,4年,186cm,78kg,O型,右右,千葉,750万円
79,前田 銀治,外野手,2003-11-19,21歳,4年,182cm,98kg,AB型,右右,静岡,550万円
82,辰見 鴻之介,内野手,2000-11-24,24歳,3年,176cm,67kg,B型,右右,福岡,450万円
89,ヤフーレ,投手,1998-05-01,27歳,2年,185cm,97kg,不明,右両,ベネズエラ,11000万円
130,古賀 康誠,投手,2004-09-03,20歳,3年,181cm,81kg,A型,左左,福岡,230万円
131,永田 颯太郎,内野手,2000-10-11,24歳,3年,178cm,85kg,O型,右左,愛知,250万円
132,岸本 佑也,内野手,2007-01-30,18歳,1年,180cm,74kg,B型,右右,奈良,250万円
137,江川 侑斗,捕手,2001-06-29,24歳,6年,177cm,81kg,B型,右右,大分,230万円
197,蕭 齊,投手,2006-01-04,19歳,1年,197cm,98kg,不明,右右,台湾,300万円
