No.,選手名,守備,生年月日,年齢,年数,身長,体重,血液型,投打,出身地,年俸(推定)
61,茶野　篤政,外野手,1999/08/04,26歳,3年,175cm,80kg,B型,右左,滋賀,1,600万円
62,堀　柊那,捕手,2005/07/16,20歳,2年,179cm,82kg,B型,右右,兵庫,500万円
64,大里　昂生,内野手,1999/07/07,26歳,4年,178cm,76kg,O型,右左,岩手,1,600万円
65,福田　周平,外野手,1992/08/08,33歳,8年,167cm,65kg,A型,右左,大阪,5,000万円
66,博志,投手,1997/03/22,28歳,8年,182cm,95kg,A型,右右,静岡,2,700万円
67,中川　圭太,内野手,1996/04/12,29歳,7年,180cm,76kg,B型,右右,大阪,7,000万円
68,入山　海斗,投手,2000/05/26,25歳,3年,177cm,78kg,A型,右右,大阪,240万円
93,佐藤　一磨,投手,2001/04/16,24歳,6年,190cm,97kg,AB型,左左,神奈川,900万円
94,川瀬　堅斗,投手,2002/06/18,23歳,5年,183cm,93kg,A型,右右,大分,800万円
95,才木　海翔,投手,2000/06/10,25歳,3年,182cm,85kg,A型,右右,大阪,1,200万円
96,髙島　泰都,投手,1999/12/03,25歳,2年,181cm,88kg,B型,右右,北海道,2,000万円
98,権田　琉成,投手,2000/01/28,25歳,2年,180cm,88kg,O型,右右,長野,700万円
99,杉本　裕太郎,外野手,1991/04/05,34歳,10年,190cm,104kg,B型,右右,徳島,6,700万円
122,村西　良太,投手,1997/06/06,28歳,6年,174cm,76kg,O型,右左,兵庫,1,050万円
124,遠藤　成,内野手,2001/09/19,23歳,6年,178cm,84kg,A型,右左,秋田,500万円
125,デール,内野手,2000/09/11,24歳,1年,188cm,90kg,不明,右右,オーストラリア,500万円
126,香月　一也,内野手,1996/04/16,29歳,11年,176cm,83kg,A型,右左,福岡,500万円
128,前　佑囲斗,投手,2001/08/13,24歳,6年,182cm,90kg,A型,右右,三重,570万円
130,小野　泰己,投手,1994/05/30,31歳,9年,184cm,83kg,A型,右右,福岡,500万円
135,河内　康介,投手,2005/04/16,20歳,2年,180cm,76kg,O型,右右,大阪,600万円
153,宜保　翔,内野手,2000/11/26,24歳,7年,175cm,75kg,O型,右左,沖縄,1,000万円
